Tag,Operation,Short Description,Extended Description
Guilds,get_guilds_onboarding,Retrieves the [onboarding](https://discord.com/developers/docs/resources/guild#guild-onboarding-object) configuration for a guild,
Guilds,put_guilds_onboarding,Updates the [onboarding](https://discord.com/developers/docs/resources/guild#guild-onboarding-object) configuration for a guild,
Guilds,get_guild_vanity_url,Retrieves a partial [invite](https://discord.com/developers/docs/resources/invite#invite-object) object with the custom invite link for a guild,
Audit Log,list_guild_audit_log_entries,List [audit log entires](https://discord.com/developers/docs/resources/audit-log#audit-log-object) for a guild,
Guilds,get_guild_widget_png,Retrieves a PNG image widget for a guild,
Guild Templates,sync_guild_template,Syncs a template to the guild's current state,
Guild Templates,delete_guild_template,Deletes a guild template,
Guild Templates,update_guild_template,Edit the metadata for a guild template,
Guild Templates,list_guild_templates,List [guild templates](https://discord.com/developers/docs/resources/guild-template#guild-template-object) for a guild,
Guild Templates,create_guild_template,Create a [guild template](https://discord.com/developers/docs/resources/guild-template#guild-template-object) for a guild,
Stickers,get_guild_sticker,Retrieve a [sticker](https://discord.com/developers/docs/resources/sticker#sticker-object) in a guild,
Stickers,delete_guild_sticker,Delete a sticker in a guild,
Stickers,update_guild_sticker,Update a sticker's metadata in a guild,
Guilds,bulk_ban_users_from_guild,"Ban a list of up to 200 users from a guild, and optionally delete messages recently sent by the banned users",
Stickers,list_guild_stickers,List [stickers](https://discord.com/developers/docs/resources/sticker#sticker-object) in a guild,
Stickers,create_guild_sticker,Create a [sticker](https://discord.com/developers/docs/resources/sticker#sticker-object) in a guild,
Webhooks,get_guild_webhooks,List [webhooks](https://discord.com/developers/docs/resources/webhook#webhook-object) in a guild,
Channels,list_guild_channels,List [channels](https://discord.com/developers/docs/resources/channel#channel-object) in a guild,
Channels,create_guild_channel,Create a [channel](https://discord.com/developers/docs/resources/channel#channel-object) in a guild ,
Channels,bulk_update_guild_channels,Update the positions of a set of [channels](https://discord.com/developers/docs/resources/channel#channel-object) in a guild,
Members,get_guild_member,Retrieve the [guild member](https://discord.com/developers/docs/resources/guild#guild-member-object) object for a user in the specified guild,
Members,add_guild_member,Adds a user to a guild,
Members,delete_guild_member,Remove a member from a guild,
Members,update_guild_member,Update member properties for a user in a guild,
Members,list_guild_members,Lists [members](https://discord.com/developers/docs/resources/guild#guild-member-object) in a guild,
Guilds,get_guild_preview,Retrieve a [preview](https://discord.com/developers/docs/resources/guild#guild-preview-object) object for a guild,
Invites,list_guild_invites,List [invites](https://discord.com/developers/docs/resources/invite#invite-object) in a guild,
Voice,list_guild_voice_regions,List [voice regions](https://discord.com/developers/docs/resources/voice#voice-region-object) for a guild,
Emoji,get_guild_emoji,Retrieve an [emoji](https://discord.com/developers/docs/resources/emoji#emoji-object) in a guild,
Emoji,delete_guild_emoji,Delete an emoji from a guild,
Emoji,update_guild_emoji,Update an emoji's metadata in a guild,
Emoji,list_guild_emojis,List [emojis](https://discord.com/developers/docs/resources/emoji#emoji-object) in a guild,
Emoji,create_guild_emoji,Add a new [emoji](https://discord.com/developers/docs/resources/emoji#emoji-object) in a guild,
Guilds,get_guild_widget_settings,Retrieve the [widget settings](https://discord.com/developers/docs/resources/guild#guild-widget-settings-object) for a guild,
Guilds,update_guild_widget_settings,Update the [widget settings](https://discord.com/developers/docs/resources/guild#guild-widget-settings-object) for a guild,
Roles,delete_guild_role,Delete a role in a guild,
Roles,update_guild_role,Update a [role](https://discord.com/developers/docs/topics/permissions#role-object) in a guild,
Roles,list_guild_roles,List [roles](https://discord.com/developers/docs/topics/permissions#role-object) in a guild,
Roles,create_guild_role,Create a new [role](https://discord.com/developers/docs/topics/permissions#role-object) in a guild,
Roles,bulk_update_guild_roles,Update the positions of a set of roles in a guild,
Guilds,preview_prune_guild,Returns an object with a `pruned` key indicated the number of members that would be removed from a guild if it was pruned,
Guilds,prune_guild,Start a prune operation on a guild,
Guilds,get_guild_ban,Retrieve [ban](https://discord.com/developers/docs/resources/guild#ban-object) details for a user,
Guilds,ban_user_from_guild,"Ban a user from a guild, and optionally delete messages recently sent by them",
Guilds,unban_user_from_guild,Remove a ban for a user,
Guilds,list_guild_bans,List user [bans](https://discord.com/developers/docs/resources/guild#ban-object) for a guild,
Guilds,set_guild_mfa_level,Set the [MFA level](https://discord.com/developers/docs/resources/guild#ban-object) for a guild,
Stages,get_stage_instance,"Get the instance associated with a stage channel, if it exists",
Stages,delete_stage_instance,Deletes the stage instance,
Stages,update_stage_instance,Updates properties of an existing stage instance,
Applications,get_application,Retrieves details about an [app](https://discord.com/developers/docs/resources/application#application-object),
Applications,update_application,Update an [app](https://discord.com/developers/docs/resources/application#application-object),
Webhooks,get_webhook_by_token,Retrieve a webhook using a webhook token (without authentication),
Webhooks,execute_webhook,Execute a webhook,
Webhooks,delete_webhook_by_token,Delete a webhook using a webhook token (without authentication),
Webhooks,update_webhook_by_token,Modify a webhook using a webhook token (without authentication),
Stickers,get_sticker,Retrieve a [sticker](https://discord.com/developers/docs/resources/sticker#sticker-object),
Webhooks,get_webhook,Retrieve a [webhook](https://discord.com/developers/docs/resources/webhook#webhook-object),
Webhooks,delete_webhook,Delete a webhook ,
Webhooks,update_webhook,Modify a webhook,
Channels,get_channel,Retrieves a [channel](https://discord.com/developers/docs/resources/channel#channel-object),
Channels,delete_channel,Deletes a channel,
Channels,update_channel,Update settings for a channel,
Invites,invite_resolve,Retrieve an [invite](https://discord.com/developers/docs/resources/invite#invite-object),
Invites,invite_revoke,Delete an invite,
Guilds,get_guild,Retrieve a [guild](https://discord.com/developers/docs/resources/guild#guild-object),
Guilds,delete_guild,Permanently delete a guild,
Guilds,update_guild,Update settings for a [guild](https://discord.com/developers/docs/resources/guild#guild-object),
Users,get_user,Retrieve a [user](https://discord.com/developers/docs/resources/user#user-object),
